fitness_level,fitness_goals,name,target_muscle,difficulty,equipment,gif,time,reps,circuits,circuits_rest,exercises_rest,weight
beginner,musclegain,Тяга верхнего блока на трицепс вниз,Трицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/Bu4UxH9bwkXjSVbD-1-4-2.gif,,8,2,60,,10
beginner,musclegain,Поднятие штанги (прямой / ez) на бицепс стоя,Бицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/1ehIp1r1YAquli22-2-2-1.gif,,8,2,60,,10-20
beginner,musclegain,Подъемы корпуса на наклонной скамье (с блином),Пресс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/WLvmn2M38GCN3lYJ-7-1-3.gif,,12,2,60,,0
intermediate,musclegain,Легкое кардио: беговая дорожка на низкой скорости / элипсоид / велотренажер,Кардио,,gym,,300,,,60,,
intermediate,musclegain,Жим штанги лежа,Грудь,,gym,https://www.google.com/url?sa=i&url=https%3A%2F%2Finstructorpro.ru%2Fgilotinnyj-zhim%2F&psig=AOvVaw1OCHU1dFzEwLa_mDKJ-v3_&ust=1740146668806000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCMi40NO10osDFQAAAAAdAAAAABAE,,8,4,60,,40-60
intermediate,musclegain,Кроссовер,Грудь,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/izlSfQfjv0zCsszJ-4-3-1.gif,,8,3,60,,15-20
intermediate,musclegain,Подтягивания (с утяжелением),Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/1ILYXtNz80a6Pj6k-16-1-3.gif,,6,4,60,,0
intermediate,musclegain,Тяга среднего блока,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/GWtvzgiwJBuDQmS0-16-1-1.gif,,8,3,60,,30-40
intermediate,musclegain,Армейский жим (жим штанги стоя),Плечи,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/CgOIEIvAjTsTLI8H-6-1-1.gif,,6,3,60,,20-40
intermediate,musclegain,"Жим ногами (вес указан только дополнительный, без учета платформы)",Квадрицепсы,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/0KKmnZ4xK2v57e54-11-1-3.gif,,8,3,60,,150
intermediate,musclegain,Экстензия на квадрицепсы,Квадрицепсы,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/ilTG6pXrcdT6yerW-11-1-5.gif,,8,2,60,,40-50
intermediate,musclegain,Румынская тяга,"задняя поверхность бедра, ягодицы",,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/PhUNSY2IfUTO7i4L-13-1-1.gif,,8,3,60,,40-60
intermediate,musclegain,Экстензия на задние сидя / лежа,"задняя поверхность бедра, ягодицы",,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/4vM8OQhuGdBLU9b9-13-2-2sidia.gif,,8,2,60,,40-50
intermediate,musclegain,Тяга верхнего блока на трицепс вниз,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/Bu4UxH9bwkXjSVbD-1-4-2.gif,,8,2,60,,15-20
intermediate,musclegain,Поднятие штанги (прямой / ez) на бицепс стоя,Бицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/1ehIp1r1YAquli22-2-2-1.gif,,8,2,60,,20-30
intermediate,musclegain,Подъемы корпуса на наклонной скамье (с блином),Пресс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/WLvmn2M38GCN3lYJ-7-1-3.gif,,15,2,60,,5
advanced,musclegain,Легкое кардио: беговая дорожка на низкой скорости / элипсоид / велотренажер,Кардио,,gym,,300,,,,,
advanced,musclegain,Жим штанги лежа,Грудь,,gym,https://www.google.com/url?sa=i&url=https%3A%2F%2Finstructorpro.ru%2Fgilotinnyj-zhim%2F&psig=AOvVaw1OCHU1dFzEwLa_mDKJ-v3_&ust=1740146668806000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCMi40NO10osDFQAAAAAdAAAAABAE,,8,4,60,,60-8-
advanced,musclegain,Кроссовер,Грудь,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/izlSfQfjv0zCsszJ-4-3-1.gif,,8,3,60,,30
advanced,musclegain,Подтягивания (с утяжелением),Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/1ILYXtNz80a6Pj6k-16-1-3.gif,,6,4,60,,10
advanced,musclegain,Тяга среднего блока,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/GWtvzgiwJBuDQmS0-16-1-1.gif,,8,3,60,,50
advanced,musclegain,Армейский жим (жим штанги стоя),Плечи,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/CgOIEIvAjTsTLI8H-6-1-1.gif,,8,3,60,,40-50
advanced,musclegain,"Жим ногами (вес указан только дополнительный, без учета платформы)",Квадрицепсы,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/0KKmnZ4xK2v57e54-11-1-3.gif,,8,3,60,,250
advanced,musclegain,Экстензия на квадрицепсы,Квадрицепсы,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/ilTG6pXrcdT6yerW-11-1-5.gif,,8,2,60,,50-60
advanced,musclegain,Румынская тяга,"задняя поверхность бедра, ягодицы",,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/PhUNSY2IfUTO7i4L-13-1-1.gif,,8,3,60,,60-80
advanced,musclegain,Экстензия на задние сидя / лежа,"задняя поверхность бедра, ягодицы",,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/4vM8OQhuGdBLU9b9-13-2-2sidia.gif,,8,2,60,,50-60
advanced,musclegain,Тяга верхнего блока на трицепс вниз,Трицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/Bu4UxH9bwkXjSVbD-1-4-2.gif,,8,3,60,,20-30
advanced,musclegain,Поднятие штанги (прямой / ez) на бицепс стоя,Бицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/1ehIp1r1YAquli22-2-2-1.gif,,8,3,60,,30-50
advanced,musclegain,Подъемы корпуса на наклонной скамье (с блином),Пресс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/WLvmn2M38GCN3lYJ-7-1-3.gif,,20,2,60,,5-10
beginner,strength,Jumping Jacks,все тело,Начальный,Нет,https://media1.tenor.com/m/9YRh0wV0VosAAAAd/exercise-workout.gif,45,,2,300,30,
beginner,strength,Берпи без прыжка,все тело,Средний,Нет,https://media1.tenor.com/m/HVa3Wh0CD8YAAAAd/funny-burpees.gif,30,,2,300,30,
